sampleSize,mergeSort,keycomp
1034,2060968,7282
1035,1889825,7293
1036,1922066,7303
1037,1924595,7314
1038,1998173,7324
1039,1938240,7334
1040,1880273,7343
1041,1860324,7355
1042,1884507,7366
1043,1880629,7377
1044,1938361,7387
1045,1888151,7398
1046,1871645,7408
1047,1710113,7418
1048,1541333,7427
1049,1576384,7438
1050,1524382,7448
1051,1922724,7458
1052,1568656,7467
1053,1431068,7477
1054,1483612,7486
1055,1462498,7495
1056,1490473,7503
1057,1887658,7515
1058,1912191,7526
1059,1945389,7537
1060,1891928,7547
1061,1929062,7558
1062,1936881,7568
1063,1845943,7578
1064,1847708,7587
1065,1806234,7598
1066,1580100,7608
1067,1516496,7618
1068,1519966,7627
1069,1516243,7637
1070,1554054,7646
1071,1572748,7655
1072,1576072,7663
1073,1901911,7674
1074,1844628,7684
1075,1899392,7694
1076,2035737,7703
1077,2827007,7713
1078,2028739,7722
1079,1635201,7731
1080,1618736,7739
1081,1584042,7749
1082,1626826,7758
1083,1967052,7767
1084,2010508,7775
1085,2044269,7784
1086,2044416,7792
1087,1944895,7800
1088,1790084,7807
1089,1935116,7819
1090,2122118,7830
1091,1776437,7841
1092,1606109,7851
1093,1583264,7862
1094,1846193,7872
1095,1814772,7882
1096,1858691,7891
1097,1876129,7902
1098,1857727,7912
1099,1907553,7922
1100,1788150,7931
1101,1930994,7941
1102,1816454,7950
1103,1834159,7959
1104,1811876,7967
1105,1854859,7978
1106,1876214,7988
1107,2019777,7998
1108,3357173,8007
1109,2311424,8017
1110,1927510,8026
1111,1974458,8035
1112,1959507,8043
1113,2061204,8053
1114,2034950,8062
1115,1986351,8071
1116,4130416,8079
1117,2810262,8088
1118,3922819,8096
1119,3860888,8104
1120,4317766,8111
1121,5245244,8122
1122,3471221,8132
1123,4374258,8142
1124,4838770,8151
1125,2432069,8161
1126,2568453,8170
1127,2490491,8179
1128,2425036,8187
1129,2197756,8197
1130,4507126,8206
1131,3841966,8215
1132,2568829,8223
1133,3443492,8232
1134,2816291,8240
1135,2855146,8248
1136,2970170,8255
1137,2854965,8265
1138,2873421,8274
1139,2640877,8283
1140,2876583,8291
1141,2751107,8300
1142,2765820,8308
1143,3867731,8316
1144,5042134,8323
1145,4940946,8332
1146,4571271,8340
1147,2526660,8348
1148,2621238,8355
1149,2573635,8363
1150,2465550,8370
1151,2528494,8377
1152,2882481,8383
1153,2627508,8395
1154,2457682,8406
1155,2701273,8417
1156,2664764,8427
1157,2648912,8438
1158,2477577,8448
1159,2578856,8458
1160,2629039,8467
1161,2505209,8478
1162,2508920,8488
1163,2608066,8498
1164,2614028,8507
1165,2542378,8517
1166,2379063,8526
1167,2462553,8535
1168,2463343,8543
1169,2487949,8554
1170,2459324,8564
1171,3768891,8574
1172,2851282,8583
1173,2633233,8593
1174,2593579,8602
1175,2513332,8611
1176,2499403,8619
1177,2481881,8629
1178,2491321,8638
1179,2447115,8647
1180,2446100,8655
1181,2322135,8664
1182,2372305,8672
1183,2414041,8680
1184,2386069,8687
1185,2412767,8698
1186,2401606,8708
1187,2311948,8718
1188,2321076,8727
1189,2841989,8737
1190,2553331,8746
1191,2656811,8755
1192,2485783,8763
1193,2520700,8773
1194,2435079,8782
1195,2968726,8791
1196,2396452,8799
1197,2455099,8808
1198,2815612,8816
1199,3651431,8824
1200,2326309,8831
1201,2415288,8841
1202,2407973,8850
1203,2391319,8859
1204,2371930,8867
1205,2269171,8876
1206,2368009,8884
1207,2742366,8892
1208,2337386,8899
1209,2522340,8908
1210,2437584,8916
1211,2879487,8924
1212,2382848,8931
1213,2686888,8939
1214,2447720,8946
1215,2434277,8953
1216,2372261,8959
1217,2376036,8970
1218,2413072,8980
1219,2550437,8990
1220,2405595,8999
1221,2864364,9009
1222,2835973,9018
1223,2735593,9027
1224,2539555,9035
1225,2553432,9045
1226,2020138,9054
1227,2072192,9063
1228,1993234,9071
1229,1924333,9080
1230,1965824,9088
1231,1908910,9096
1232,2283576,9103
1233,2424821,9113
1234,2425804,9122
1235,2491614,9131
1236,2410515,9139
1237,2301529,9148
1238,2463727,9156
1239,2940590,9164
1240,2340601,9171
1241,2468728,9180
1242,2338178,9188
1243,2288041,9196
1244,2349719,9203
1245,2224505,9211
1246,2253887,9218
1247,2228884,9225
1248,2223574,9231
1249,2207207,9241
1250,2186148,9250
1251,2187810,9259
1252,2159060,9267
1253,2144849,9276
1254,2146904,9284
1255,2143653,9292
1256,2079184,9299
1257,2055094,9308
1258,2147219,9316
1259,2152245,9324
1260,2262606,9331
1261,2114221,9339
1262,2156312,9346
1263,2113492,9353
1264,2162750,9359
1265,2144094,9368
1266,2187215,9376
1267,2446970,9384
1268,3201062,9391
1269,3376156,9399
1270,4306804,9406
1271,3364485,9413
1272,2623581,9419
1273,2443072,9427
1274,2306095,9434
1275,2310035,9441
1276,2332568,9447
1277,2356500,9454
1278,2628885,9460
1279,2347084,9466
1280,2349122,9471
1281,2377676,9483
1282,2427402,9494
1283,2416238,9505
1284,2630796,9515
1285,2242582,9526
1286,2254959,9536
1287,2700530,9546
1288,2829771,9555
1289,2470450,9566
1290,3302621,9576
1291,3226260,9586
1292,3243303,9595
1293,3102929,9605
1294,2896993,9614
1295,3424181,9623
1296,2596461,9631
1297,2610907,9642
1298,2520481,9652
1299,3563514,9662
1300,3154611,9671
1301,3198761,9681
1302,3228460,9690
